Date,State,Coal_Price_Index,Gas_Price_Index,Carbon_Tax_per_Ton,Spot_Price,Spot_Volatility_Index
2020-01-01 0:00:00,Maharashtra,140,135,0,4455.62,0.95
2020-01-01 0:00:00,Gujarat,140,135,0,4140.82,0.99
2020-01-01 0:00:00,Tamil Nadu,140,135,0,4329.13,0.92
2020-01-01 0:00:00,Karnataka,140,135,0,3839.97,0.97
2020-01-01 0:00:00,Rajasthan,140,135,0,3872.27,1.07
2020-01-02 0:00:00,Maharashtra,140.084,135,0,3842.89,0.99
2020-01-02 0:00:00,Gujarat,140.084,135,0,3983.14,1.04
2020-01-02 0:00:00,Tamil Nadu,140.084,135,0,4419.46,0.94
2020-01-02 0:00:00,Karnataka,140.084,135,0,3604.45,1.03
2020-01-02 0:00:00,Rajasthan,140.084,135,0,4417.87,1
2020-01-03 0:00:00,Maharashtra,140.154,135,0,3531.65,0.93
2020-01-03 0:00:00,Gujarat,140.154,135,0,4397.49,0.97
2020-01-03 0:00:00,Tamil Nadu,140.154,135,0,4125.27,1.01
2020-01-03 0:00:00,Karnataka,140.154,135,0,4074.95,0.95
2020-01-03 0:00:00,Rajasthan,140.154,135,0,4322.65,0.96
2020-01-04 0:00:00,Maharashtra,140.238,135,0,4459.82,1.03
2020-01-04 0:00:00,Gujarat,140.238,135,0,3905.05,1.07
2020-01-04 0:00:00,Tamil Nadu,140.238,135,0,3714.8,0.92
2020-01-04 0:00:00,Karnataka,140.238,135,0,4302.81,1.09
2020-01-04 0:00:00,Rajasthan,140.238,135,0,3855.63,1.08
2020-01-05 0:00:00,Maharashtra,140.308,135,0,4130.38,1.01
2020-01-05 0:00:00,Gujarat,140.308,135,0,4088.9,0.93
2020-01-05 0:00:00,Tamil Nadu,140.308,135,0,4304.39,1.02
2020-01-05 0:00:00,Karnataka,140.308,135,0,4034.28,1
2020-01-05 0:00:00,Rajasthan,140.308,135,0,3989.16,1.08
2020-01-06 0:00:00,Maharashtra,140.392,135,0,4256.87,1.01
2020-01-06 0:00:00,Gujarat,140.392,135,0,4229.46,0.94
2020-01-06 0:00:00,Tamil Nadu,140.392,135,0,4176.98,0.94
2020-01-06 0:00:00,Karnataka,140.392,135,0,4395.32,1.07
2020-01-06 0:00:00,Rajasthan,140.392,135,0,4017.34,1.05
2020-01-07 0:00:00,Maharashtra,140.462,134.99,0,3943.04,0.95
2020-01-07 0:00:00,Gujarat,140.462,134.99,0,3529.79,1.06
2020-01-07 0:00:00,Tamil Nadu,140.462,134.99,0,3633.41,1.03
2020-01-07 0:00:00,Karnataka,140.462,134.99,0,4030.39,1.01
2020-01-07 0:00:00,Rajasthan,140.462,134.99,0,4313.27,0.98
2020-01-08 0:00:00,Maharashtra,140.546,134.99,0,3671.82,1.05
2020-01-08 0:00:00,Gujarat,140.546,134.99,0,3801.99,0.95
2020-01-08 0:00:00,Tamil Nadu,140.546,134.99,0,4246.55,0.94
2020-01-08 0:00:00,Karnataka,140.546,134.99,0,4111.12,0.9
2020-01-08 0:00:00,Rajasthan,140.546,134.99,0,3686.76,1.03
2020-01-09 0:00:00,Maharashtra,140.616,134.99,0,3930.48,1.04
2020-01-09 0:00:00,Gujarat,140.616,134.99,0,3841.91,0.95
